ENSG_ID	c_12h_rep2	c_12h_rep1	c_24h_rep2	c_24h_rep1	t_12h_rep1	t_12h_rep2	t_24h_rep1	t_24h_rep2
ENSG00000151917	3.239393557	3.146766911	2.955934346	3.100096142	2.98020242	3.179459094	3.252913414	3.346544369
ENSG00000151923	6.440467228	6.372922632	6.576358877	6.576719652	6.624747815	6.584124053	6.609880434	6.751726259
ENSG00000151929	10.73919585	10.75524499	10.742425	10.72568875	10.66268733	10.65243553	10.43481401	10.45727446
ENSG00000151948	4.589057651	4.463982863	4.26655372	4.309815234	4.239292944	4.557398339	4.408863257	4.002404747
ENSG00000151952	3.145118453	3.26804421	3.165606649	2.908611527	3.26804421	3.139303721	3.132027103	2.751513545
ENSG00000151962	2.593289334	2.510347745	2.493086601	2.374734348	2.644807133	2.51185392	2.504771334	2.429409289
ENSG00000152022	3.717799281	3.901056524	3.785249349	3.502782713	3.803654655	3.608407112	3.70724646	3.498086881
ENSG00000152034	4.63869783	4.877742542	4.652998678	4.562961272	4.470157779	4.708184201	4.596392059	4.714948659
ENSG00000152049	3.270566388	3.321078784	3.288104924	3.30599434	3.236320837	3.319028452	3.201510418	3.340801847
ENSG00000152056	5.669415529	5.752774299	5.840545262	5.667539107	5.962574677	5.962574677	6.075578894	6.164070175
ENSG00000152061	4.386223175	4.480464039	4.542985723	4.507136008	4.615836392	4.472864592	4.464595623	4.415860921
ENSG00000152082	10.96892551	10.93968595	10.89581777	10.96019568	10.94233315	10.91146607	10.88916593	10.82311398
ENSG00000152092	2.635657416	2.835426651	3.010944816	2.786011001	2.70412763	2.828262819	2.629411242	2.804890663
ENSG00000152102	7.787434017	7.78335917	7.776406461	7.688571483	7.759064407	7.802347186	7.803862131	7.871146565
ENSG00000152104	4.298683951	4.260308014	4.348562829	4.490493432	4.316111371	4.270223818	4.279938105	4.206409406
ENSG00000152127	6.490702291	6.390591493	6.6324682	6.580118911	6.746015555	6.780265714	6.767682146	6.936234397
ENSG00000152128	3.878098842	3.936989834	3.757917521	3.629356037	3.828032699	4.112979542	3.762414346	3.757617834
ENSG00000152133	4.863618224	4.916224301	5.029392179	5.130895738	4.992172492	5.134313307	5.394464643	5.273209152
ENSG00000152137	9.953798675	9.866376033	9.637207335	9.558836812	11.19898567	11.20847866	10.897235	10.77766291
ENSG00000152147	6.899906999	6.940772939	6.887113404	6.946762847	7.253354184	7.166572115	7.293017394	7.292952002
ENSG00000152154	2.594736052	3.195843644	3.14334379	2.865175845	3.060601312	2.676145994	2.739125357	2.785301146
ENSG00000152192	2.88013852	2.990017698	3.035781474	2.834225965	3.179043011	3.023696345	3.180943463	3.20663167
ENSG00000152193	6.234285376	6.163776014	6.501440564	6.54875196	6.614490605	6.667246591	6.857871525	6.719340391
ENSG00000152207	4.435875456	4.100714724	4.214718389	4.106688146	4.017066348	3.963307676	4.167171972	4.377503941
ENSG00000152208	3.422180798	3.570477576	3.375909743	3.175380941	3.434031207	3.495717535	3.348795001	3.296466217
ENSG00000152213	2.811505644	2.717475991	2.861826234	3.04562122	2.784798195	2.724534365	2.891423965	3.065470435
ENSG00000152214	2.6372653	2.658324492	2.559691644	2.60423416	2.695321303	2.859662684	2.60423416	2.681886806
ENSG00000152217	2.975903157	3.08102766	3.113379273	3.095321361	3.188001883	3.014653217	3.064200047	2.687272024
ENSG00000152219	6.993898148	6.855066634	7.00473197	7.208102792	7.257889754	7.259468041	7.323534342	7.377099862
ENSG00000152223	4.848658861	4.995708205	4.928944407	4.848957404	4.899772019	4.759173479	4.778849039	4.880233831
ENSG00000152229	5.921520057	5.472352489	5.635117028	5.691392026	5.829696165	5.837848141	5.806926812	5.88538521
ENSG00000152234	12.04971437	12.06116369	12.17877764	12.12312966	12.08159303	12.09341492	12.17720099	12.23526523
ENSG00000152240	8.221070851	8.15864849	8.447000652	8.377313107	8.709456405	8.649422517	8.787364532	8.639594457
ENSG00000152242	5.522422944	5.523449455	5.659731095	5.693387596	5.650653685	5.663890247	5.753400055	5.865191071
ENSG00000152253	8.02547371	7.832435859	8.385507746	8.243631838	8.017104804	8.115320651	8.562317006	8.462998639
ENSG00000152254	3.990225197	3.964547042	4.17838339	3.964234818	4.227840027	4.083835039	4.117776177	4.007028038
ENSG00000152256	5.261042044	5.454946453	5.389800853	5.261606429	5.689736024	5.636873971	5.472622754	5.51263373
ENSG00000152266	2.45021848	2.256641928	2.555640211	2.594129459	2.361634635	2.540983748	2.496566003	2.655753469
ENSG00000152268	2.97906029	3.073687043	3.014920132	3.014638349	2.937560416	2.999050353	2.986571462	2.97951003
ENSG00000152270	4.975389751	5.163158579	4.910627607	4.753652128	4.837292134	4.880129325	4.941690398	4.686877222
